id,title,company_type,seniority,location,skills_required,raw_description
5473083592,Platform Specialist Cloud Engineer,Infrastructure & Cloud,Mid-level,"Sydney, NSW","Azure, Cloud","Job Title: Platform Specialist / Cloud Engineer Location: Sydney Experience: 5–13 years Employment Type: Contract Role Overview The Platform Specialist / Cloud Engineer will design, build, and configure Azure-based environments and landing zones to support application deployment and operational readiness. The role requires deep technical expertise in Azure IaaS and PaaS services, infrastructure automation, and secure cloud architecture. You will ensure that all platform solutions align with ent…"
5706783196,DevOps Cloud Engineer - AWS,Infrastructure & Cloud,Mid-level,"Sydney, NSW",Aws,"IT & Telecomms System Administration Sydney Permanent / Full Time AWS Premier Partner and 4 Best Place to Work Fun, Vibrant & Collaborative team. Hybrid work (50% from home) Ongoing Training and Career Development Opportunities AWS Premier Partner. Join a leading IT Services Provider and work with AWS gurus. Cutting edge technologies to play with. Varied customers projects. AWS Premier Partner and 4 Best Place to Work Fun, Vibrant & Collaborative team. Hybrid work (50% from home) Ongoing Traini…"
5664721611,Senior Platform Engineer (Cloud Engineering),Infrastructure & Cloud,Senior,"Sydney, NSW",Cloud,"This is a Senior Platform Engineer (Cloud Engineering) role with NSW Department of Customer Service based in Sydney, NSW, AU  NSW Department of Customer Service  Role Seniority - senior More about the Senior Platform Engineer (Cloud Engineering) role at NSW Department of Customer Service Senior Platform Engineer (Cloud Engineering) Clerk Grade: 9/10 Annual Salary Range: $129,464 - $142,665 plus superannuation Employment Type: Ongoing, Full-time Location: Sydney with weekly office attendance and…"
5672724085,"Prototyping Engineer, Prototyping And Cloud Engineering",Infrastructure & Cloud,Senior,"Sydney, NSW",Cloud,"This is a Prototyping Engineer, Prototyping And Cloud Engineering role with Amazon based in Sydney, NSW, AU  Amazon  Role Seniority - mid level, senior More about the Prototyping Engineer, Prototyping And Cloud Engineering role at Amazon The AI revolution is changing everything. This disruption is occurring everywhere, fueled by rapidly evolving technologies that will impact virtually all industries, from consumer products, retail and healthcare to highly complex industrial engineering like aut…"
5382457924,Principal DevOps Engineer (SAS Specialist),Infrastructure & Cloud,Senior,"Sydney, NSW","Aws, Devops","Overview Join to apply for the Principal DevOps Engineer (SAS Specialist) role at DFP Recruitment . 12-month contract with extension Location: ACT, NSW, QLD, SA, VIC, WA Must be able to obtain Negative Vetting Level 1 DFP Recruitment is seeking an experienced Principal DevOps Engineer(SAS Specialist) to join our Government Client team. Role responsibilities Extensive hands-on experience with SAS Visual Investigator as well as AWS infrastructure and services, with proven ability to design, imple…"
5702163082,Senior DevOps Engineer - SAS Specialist & Cloud Automation,Infrastructure & Cloud,Senior,"Sydney, NSW","Python, Javascript, Aws, Docker, Kubernetes, Terraform, Devops","A reputable recruitment firm is seeking a Principal DevOps Engineer (SAS Specialist) for a 12-month contract. This role involves developing and customizing SAS Visual Investigator, managing AWS infrastructure, and automating deployments with Terraform. The ideal candidate will have experience with containerization tools like Docker and Kubernetes, as well as multiple programming languages including Python and JavaScript. This position is available in multiple Australian states, including New So…"
5384714065,Devops Engineer,Infrastructure & Cloud,Senior,"Sydney, NSW","Python, Javascript, Cloud, Terraform, Ansible, Devops","Senior DevOps Engineer Need a Senior DevOps Engineer & Consultant ( NOT INFRA/CLOUD ENGINEER WITH EXPERIENCE USING DEVOPS TOOLS )who can help with the DevOps & Quality uplift of the applicable areas. This person will help coordinate with the offshore DevOps Engineers. Offshore coordination, ability to assess current SDLC maturity, influence quality first by driving DevOps uplift, automation, ways of working. 5 years scripting and automation with Python, Shell, JavaScript, Terraform, Ansible, an…"
5650825174,DevOps Engineer,Infrastructure & Cloud,Mid-level,"Sydney, NSW","Cloud, Kubernetes, Ci/Cd, Devops","Job Location: Ultimo, Sydney NSW, Australia Job Type: Full Time Overview We’re looking for a hands-on DevOps Engineer to join our growing team in Ultimo, Sydney. In this role, you’ll strengthen our build, release, and runtime platform—helping us ship faster, safer, and smarter. You’ll drive automation, improve CI/CD pipelines, manage Kubernetes clusters, and enable our teams to deliver with confidence across both cloud and on-premises environments. This is a great opportunity for someone with s…"
5706862656,Senior DevOps Engineer,Infrastructure & Cloud,Senior,"Sydney, NSW","Ci/Cd, Devops","As a Senior DevOps Engineer, you will play a pivotal role in to taking technical ownership of GitHub Enterprise platform for Source Code Management and CI/CD automation. This role treats GitHub as an enterprise product, not just a tool and also requires a strong focus on delivery. Open to candidates in Melbourne and Sydney Client Details This organisation is a well-established player in the banking sector, known for its commitment to delivering innovative solutions. It focuses on providing high…"
5672770789,Lead DevOps Engineer,Infrastructure & Cloud,Senior,"Sydney, NSW",Devops,"This is a Lead DevOps Engineer role with Xpansiv based in Sydney, NSW, AU  Xpansiv  Role Seniority - senior More about the Lead DevOps Engineer role at Xpansiv Xpansiv is the leading infrastructure provider for the energy transition markets. Our comprehensive platform includes registries, online marketplaces, market execution services, wholesale power solutions, and market data for energy and environmental commodity markets. Trusted worldwide, Xpansiv enables stakeholders to deliver transparent…"
5650823310,Frontend Developers,Software Engineering,Mid-level,"Sydney, NSW","Java, Api","About the job Frontend Developers Job Description : FRONT END DEVELOPER- JAVA Key Accountabilities • Design, build, install, integrate and maintain software which enables customer end users to interact with complex network technologies and platforms for fixed network provisioning and operations • Translate customer (internal, external or regulatory) needs and requirements, using technical principles into reusable API based micro-services, UI components and UI workflows • Negotiate and agree on …"
5650839792,Frontend Developer (React) -/ Frontend Developer (Angular JS),Software Engineering,Mid-level,"Sydney, NSW","Typescript, Html, Css, React","About the job Frontend Developer (React) -/ Frontend Developer (Angular JS) Minimum 8 years of experience in modern web application development · Advanced level proficiency in React, Redux, HTML 5.0, CSS3, CSS Pre Processors SASS/LESS, ES6, Typescript, Foundation, Responsive Web Design, Component Web Design, page optimisation. · Commercial, hands-on working on experience with BDD & TDD, specifically JEST & Cypress · Creating configuration, build, and test scripts for Continuous Delivery environ…"
5650823099,Frontend Developer (Angular JS),Software Engineering,Mid-level,"Sydney, NSW","Typescript, Html, Css","About the job Frontend Developer (Angular JS) Minimum 8 years of experience in modern web application development Advanced level proficiency in Angular, HTML 5.0, CSS3, CSS Pre Processors SASS/LESS, ES6, Typescript, Foundation, Responsive Web Design, Component Web Design, page optimisation. Commercial, hands-on working on experience with BDD & TDD, specifically JEST & Cypress Creating configuration, build, and test scripts for Continuous Delivery environments. Experience with automated module b…"
5680767574,Snr Frontend Developer - React,Software Engineering,Senior,"Sydney, NSW",React,"At Protecht, we’re transforming the way organisations understand and manage risk. Our work helps build safer workplaces, better decision-making, and more resilient communities. With rapid growth across APAC, the UK, and North America, and recognition as a Great Place to Work® for four consecutive years, we’re proud of the culture we’ve built — one grounded in trust, flexibility, and genuine care. About the role We’re seeking a Senior Frontend Developer (React) to play a key role in shaping the …"
